City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
401,hvolsvollur,63.7533,-20.2243,-1.63,81,31,3.0,IS,1673710609
402,lac du bonnet,50.2536,-96.0612,-7.65,94,99,2.94,CA,1673710609
403,port hardy,50.6996,-127.4199,6.1,100,75,1.54,CA,1673710610
404,berezovyy,51.6667,135.7,-32.72,88,3,2.39,RU,1673710610
405,roma,43.2128,-75.4557,-6.26,77,100,3.6,US,1673710610
406,muros,42.7762,-9.0603,16.16,86,100,10.28,ES,1673710611
407,cabedelo,-6.9811,-34.8339,31.37,64,77,6.46,BR,1673710611
408,nizhneivkino,58.194,49.5214,-6.53,92,100,5.42,RU,1673710611
409,ancud,-41.8697,-73.8203,15.94,71,72,2.92,CL,1673710425
410,tazovskiy,67.4667,78.7,-32.27,98,73,3.53,RU,1673710612
411,san jose,37.3394,-121.895,14.12,90,100,10.8,US,1673710431
412,basco,20.4487,121.9702,25.6,81,99,6.06,PH,1673710612
413,sao jose da coroa grande,-8.8978,-35.1478,28.24,67,33,5.42,BR,1673710612
414,sola,-13.8833,167.55,26.22,81,100,5.03,VU,1673710613
415,tabas,33.5959,56.9244,2.89,21,73,0.56,IR,1673710613
416,kuopio,62.8924,27.677,0.97,100,100,6.69,FI,1673710400
417,kyzyl-suu,42.3414,78.0056,-14.34,69,21,4.18,KG,1673710614
418,las vegas,36.175,-115.1372,9.88,64,0,2.57,US,1673710555
419,gamba,-2.65,10.0,27.58,70,78,3.4,GA,1673710614
420,marsh harbour,26.5412,-77.0636,16.61,56,44,14.26,BS,1673710545
421,pacific grove,36.6177,-121.9166,14.06,91,100,4.47,US,1673710615
422,permet,40.2336,20.3517,8.12,80,67,1.63,AL,1673710615
423,ranong,9.9658,98.6348,23.72,87,34,1.52,TH,1673710615
424,galle,6.0367,80.217,24.67,82,70,2.02,LK,1673710548
425,la ronge,55.1001,-105.2842,-9.86,85,100,5.14,CA,1673710616
426,semey,50.4111,80.2275,-11.76,86,100,7.02,KZ,1673710616
427,sangar,63.9242,127.4739,-54.52,99,97,1.38,RU,1673710617
428,black river,18.0264,-77.8487,28.15,47,60,3.93,JM,1673710617
429,gobabis,-22.45,18.9667,32.15,14,32,6.25,NA,1673710617
430,lewiston,44.1003,-70.2148,0.51,86,100,1.79,US,1673710521
431,byron bay,-28.65,153.6167,18.17,85,100,1.39,AU,1673710618
432,oktyabrskiy,54.4815,53.471,-13.85,82,100,4.07,RU,1673710618
433,foumbot,5.5079,10.6356,29.19,16,43,2.47,CM,1673710618
434,viedma,-40.8135,-62.9967,31.64,23,62,8.33,AR,1673710619
